cohort,seed,candidate_build,published_build,PlayerID,status,Name,Team,Age,Baseline,CandidateMeanDelta,PublishedMeanDelta,DeltaDifference,CandidateMeanOvr,PublishedMeanOvr,OvrDifference,CandidateStdDelta,PublishedStdDelta
sample,42,20260919031636,20260919031637,2,shared,Arron Afflalo,DET,33,57.0,-1.66,-1.35,-0.30999999999999983,55.34,55.65,-0.30999999999999517,1.1121005695384194,0.7961396760860394
sample,42,20260919031636,20260919031637,4,shared,Alexis Ajinça,SA,30,58.0,-0.4,-0.32,-0.08000000000000002,57.6,57.68,-0.0799999999999983,1.1720654306553766,0.6175873552900362
sample,42,20260919031636,20260919031637,7,shared,LaMarcus Aldridge (PO),TOR,33,68.0,-0.74,0.23,-0.97,67.26,68.23,-0.9699999999999989,0.7992420652017002,0.617178329908861
sample,42,20260919031636,20260919031637,8,shared,Lavoy Allen,CHI,29,54.0,-1.01,0.59,-1.6,52.99,54.59,-1.6000000000000014,3.0698764493284436,1.9801795653705525
sample,42,20260919031636,20260919031637,12,shared,Al-Farouq Aminu,MIN,28,53.0,-1.62,-1.19,-0.43000000000000016,51.38,51.81,-0.4299999999999997,3.265305839002256,2.2324285820015324
sample,42,20260919031636,20260919031637,16,shared,James Anderson (PO),MEM,29,57.0,-0.78,-0.49,-0.29000000000000004,56.22,56.51,-0.28999999999999915,1.0878576852853243,1.1054959123041626
sample,42,20260919031636,20260919031637,17,shared,Ryan Anderson (PO),MIA,30,60.0,-0.89,0.93,-1.82,59.11,60.93,-1.8200000000000003,1.0139930069688934,0.7142842712828137
sample,42,20260919031636,20260919031637,18,shared,Carmelo Anthony (PO),MEM,34,72.0,-2.04,-0.78,-1.26,69.96,71.22,-1.2600000000000051,0.7774602526460404,0.675397376484108
sample,42,20260919031636,20260919031637,22,shared,Trevor Ariza,MIA,33,59.0,-1.42,-1.44,0.020000000000000018,57.58,57.56,0.01999999999999602,0.9009534792191948,0.8326663997864533
sample,42,20260919031636,20260919031637,28,shared,D.J. Augustin,UTA,31,53.0,-1.43,-2.19,0.76,51.57,50.81,0.759999999999998,1.6591040541889654,1.1950656125007608
sample,42,20260919031636,20260919031637,29,shared,Gustavo Ayón,POR,33,50.0,-3.52,-3.17,-0.3500000000000001,46.48,46.83,-0.3500000000000014,2.096076180279561,1.5830861051002934
sample,42,20260919031636,20260919031637,35,shared,Andrea Bargnani (PO),SAC,33,64.0,-1.29,-1.41,0.11999999999999988,62.71,62.59,0.11999999999999744,0.8680059581790575,0.6681045100608408
sample,42,20260919031636,20260919031637,41,shared,Brandon Bass,WAS,33,57.0,-1.81,-1.94,0.1299999999999999,55.19,55.06,0.12999999999999545,1.6186726074475382,0.6936945446031136
sample,42,20260919031636,20260919031637,44,shared,Nicolas Batum (PO),TOR,30,63.0,-1.19,-0.6,-0.59,61.81,62.4,-0.5899999999999963,0.9287223764534008,0.8408749651825219
sample,42,20260919031636,20260919031637,45,shared,Jerryd Bayless (TO),CHI,30,62.0,-0.82,0.65,-1.47,61.18,62.65,-1.4699999999999989,0.8689945426477171,0.7571210756756963
sample,42,20260919031636,20260919031637,47,shared,Michael Beasley,GSW,29,64.0,-0.82,0.51,-1.33,63.18,64.51,-1.3300000000000054,0.880541614776687,0.717670192393766
sample,42,20260919031636,20260919031637,50,shared,Marco Belinelli,DET,32,53.0,-1.98,-6.44,4.460000000000001,51.02,46.56,4.460000000000001,2.424537860785812,0.924634790038475
sample,42,20260919031636,20260919031637,59,shared,Bismack Biyombo,POR,26,56.0,0.45,0.63,-0.18,56.45,56.63,-0.17999999999999972,1.416889465546186,1.535143858622594
sample,42,20260919031636,20260919031637,60,shared,DeJuan Blair,MIN,29,56.0,-1.3,-0.19,-1.11,54.7,55.81,-1.1099999999999994,1.4805131515522556,1.3234100428114266
sample,42,20260919031636,20260919031637,63,shared,Eric Bledsoe,UTA,29,55.0,-1.34,-1.87,0.53,53.66,53.13,0.529999999999994,1.2966156412800676,1.0215357818184116
sample,42,20260919031636,20260919031637,69,shared,Chris Bosh  (PO),ATL,34,64.0,-1.69,-0.77,-0.9199999999999999,62.31,63.23,-0.9199999999999946,0.8841477092189808,0.6794977348874474
sample,42,20260919031636,20260919031637,77,shared,Ronnie Brewer,MIN,33,57.0,-1.76,-3.51,1.7499999999999998,55.24,53.49,1.75,1.3641884404326627,0.717670192393766
sample,42,20260919031636,20260919031637,79,shared,Aaron Brooks (PO),UTA,33,48.0,-3.18,-2.67,-0.5100000000000002,44.82,45.33,-0.509999999999998,2.5281446065277104,1.3784415149367093
sample,42,20260919031636,20260919031637,80,shared,MarShon Brooks,ORL,29,61.0,-0.26,0.75,-1.01,60.74,61.75,-1.009999999999998,0.9387289924211998,0.7299508769967216
sample,42,20260919031636,20260919031637,82,shared,Derrick Brown,CLE,31,54.0,-2.61,-6.3,3.69,51.39,47.7,3.6899999999999977,1.9063689108465927,0.9795896894087646
sample,42,20260919031636,20260919031637,84,shared,Shannon Brown,UTA,33,54.0,-3.97,-3.05,-0.9200000000000004,50.03,50.95,-0.9200000000000017,1.9146168221755442,1.4240006242195884
sample,42,20260919031636,20260919031637,85,shared,Kobe Bryant,DET,40,53.0,-8.73,-5.58,-3.1500000000000004,44.27,47.42,-3.1499999999999986,2.196668735916623,1.264751342990376
sample,42,20260919031636,20260919031637,86,shared,Chase Budinger,OKC,30,57.0,-0.87,-0.45,-0.42,56.13,56.55,-0.4199999999999946,1.4747367510333782,0.657128740672771
sample,42,20260919031636,20260919031637,87,shared,Alec Burks,UTA,27,73.0,0.72,1.08,-0.3600000000000001,73.72,74.08,-0.35999999999999943,0.8537498983243798,0.7061061241667987
sample,42,20260919031636,20260919031637,92,shared,Andrew Bynum (PO),LAC,31,65.0,-1.03,-0.78,-0.25,63.97,64.22,-0.25,0.9582707489445915,0.7188655484634637
sample,42,20260919031636,20260919031637,101,shared,Omri Casspi (PO),CLE,30,59.0,-0.9,-0.31,-0.5900000000000001,58.1,58.69,-0.5899999999999963,1.0963668190985176,0.6620293258480537
sample,42,20260919031636,20260919031637,103,shared,Mario Chalmers (PO),MEM,32,58.0,-1.25,-1.71,0.45999999999999996,56.75,56.29,0.46000000000000085,1.0087996667707457,0.8680059581790571
sample,42,20260919031636,20260919031637,109,shared,Earl Clark,ORL,30,51.0,-0.96,-0.39,-0.57,50.04,50.61,-0.5700000000000003,2.309051140992154,1.062634424057455
sample,42,20260919031636,20260919031637,111,shared,Darren Collison,MIA,31,58.0,-1.0,-1.95,0.95,57.0,56.05,0.9500000000000028,0.9949366763261821,0.7159792333764035
sample,42,20260919031636,20260919031637,114,shared,Mike Conley,GSW,31,67.0,-0.71,-1.74,1.03,66.29,65.26,1.0300000000000011,0.8444112167838033,0.6907761700954347
sample,42,20260919031636,20260919031637,117,shared,Daequan Cook (PO),SAC,31,59.0,-1.1,-1.59,0.49,57.9,57.41,0.490000000000002,0.9265990819042824,0.6210938542262158
sample,42,20260919031636,20260919031637,120,shared,DeMarcus Cousins,MIN,28,72.0,-0.62,0.38,-1.0,71.38,72.38,-1.0,0.7756391955130694,0.9927006323431782
sample,42,20260919031636,20260919031637,123,shared,Jamal Crawford,SA,38,53.0,-6.8,-6.38,-0.41999999999999993,46.2,46.62,-0.4199999999999946,2.6666666666666656,1.4479522286890738
sample,42,20260919031636,20260919031637,124,shared,Jordan Crawford (PO),IND,30,65.0,-0.44,0.13,-0.5700000000000001,64.56,65.13,-0.5699999999999932,0.879853063949552,0.7869516689688949
sample,42,20260919031636,20260919031637,128,shared,Stephen Curry (PO),MEM,30,71.0,0.76,2.1,-1.34,71.76,73.1,-1.3399999999999892,0.8302366706505618,0.6741998624632421
sample,42,20260919031636,20260919031637,139,shared,Glen Davis,CHI,32,57.0,-1.03,-1.13,0.09999999999999987,55.97,55.87,0.10000000000000142,1.039181884897437,0.7608474807008885
sample,42,20260919031636,20260919031637,143,shared,Austin Daye (PO),LAC,30,59.0,-0.26,0.94,-1.2,58.74,59.94,-1.1999999999999957,1.0695038026292303,0.6639337924884384
